video_id,title,channel,publish_date,category_id,tags,duration,views,likes,comments
xpVQpYLpHnI,High Stakes Casino Battle to Get Back on Frontstreet,Vegas Matt,2025-10-23T18:45:08Z,24,"['Las Vegas', 'Vegas', 'gamble', 'handpay', 'slot machine', 'winning', 'losing', 'slots', 'gambling', 'slot', 'vegas matt', 'casino', 'vegasmatt', 'vegas matt slots', 'jackpot', 'slot machine handpay', 'casinos', 'baccarat', 'blackjack', 'roulette', 'get even or even worse', 'sando']",PT49M28S,128180,9058,847
ranvrpvFNzY,"DeeBaby - Pourin Up Dat Raw & Ofcourse, WTF ( Official Music Video )",Official DeeBabyTV,2025-10-22T16:00:07Z,10,[],PT5M30S,177991,8395,477
_fpcstBeyl0,Pumpkin Fest 2025 - Launch Trailer!,Prodigy Game,2025-10-20T04:00:06Z,20,[],PT31S,29270,110,38
GLr4DpQykVg,Who Sent Me This Package…,CaseOh,2025-10-22T22:00:17Z,20,"['gaming', 'caseoh', 'caseohgames', 'case', 'funny', 'streamer', 'horror', 'horror gaming', 'scary', 'jumpscare']",PT1H44M21S,459241,16361,1173
n2JuzNIHTi4,BUM BUM,El Alfa - Topic,2025-10-23T17:43:27Z,10,"['El Alfa', 'Jon Z', 'Alofoke Music', 'Emanuel Herrera', 'Bum Bum', 'BUM BUM']",PT2M50S,41037,3950,129
mm6w2ufD6ME,Project TAL - Announcement & Gameplay Trailer | PS5 Games,PlayStation,2025-10-23T15:01:33Z,20,"['PlayStation', 'PS5', 'video games', 'next gen', 'Sony', '#projecttalking', '#ActionRPG', '#ARPG', '#OpenWorld', '#PlayStation', '#RPG', '#AdventureGame', '#ImmersiveGameplay', '#플레이스테이션', '#액션RPG', '#오픈월드', '#게임', '#madngine', '#매드엔진', '#wemademax', '#위메이드맥스']",PT2M3S,218695,12776,1223
uiNCKr6Ixls,STEALING FROM CHILDREN,steak,2025-10-23T22:26:31Z,20,[],PT2H11M53S,215211,6334,322
-BA8m-f9kMY,Boston - More Than a Feeling (Lyrics),7clouds Rock,2025-10-22T13:00:01Z,22,"['more than a feeling', 'more than a feeling lyrics', 'lyrics more than a feeling', 'boston', 'lyrics', 'boston more than a feeling', 'more than a feeling boston', 'boston more than a feeling lyrics', 'lyrics boston more than a feeling', 'boston lyrics more than a feeling', 'more than a feeling lyrics boston', 'lyrics more than a feeling boston', 'more than a feeling boston lyrics', ""It's more than a feeling"", 'When I hear that old song they used to play', 'And I begin dreaming', ""'Til I see Marianne walk away"", 'rock']",PT4M46S,359140,1030,28
eNaY10DQkJw,No Man's Sky Breach Trailer,HelloGamesTube,2025-10-22T12:57:07Z,20,"['no man sky', ""no man's sky switch"", ""no man's sky multiplayer"", 'no mans sky gameplay', ""no man's sky game"", 'no', ""no man's sky"", ""no man's sky gameplay"", 'no mans sky', 'nms', 'breach', 'voyagers', 'corvettes', ""no man's sky ps5"", 'no man sky gameplay', ""glyphs no man's sky"", ""no man's sky xbox"", ""no man's sky nintendo switch"", ""no man's sky corvette"", ""no man's sky walkthrough"", ""no man's sky playthrough"", ""no man's sky ps4"", ""no man's sky breach"", 'no mans sky breach', 'nms breach', 'nms update', ""no man's sky update""]",PT52S,415861,23701,2336
TXfJ4C0rsRI,SURVIVING 99 NIGHTS IN THE FOREST with a PET BEAR,Alaska Violet,2025-10-23T18:00:34Z,20,[],PT17M5S,151549,5641,1648
FmaBhsRfhIw,Ren x The Skinner Brothers - Truth Or Dare,Ren,2025-10-23T19:00:10Z,10,"['ren', 'renmakesmusic', 'Ren Music', 'Ren New Music', 'Ren Hi Ren', 'Ren Reaction', 'Ren Reactions', 'Ren Animal Flow', 'Ren Sick Boi', 'Ren Murderer', 'Ren Chalk Outlines', 'Ren Chinchilla', ""Ren Jenny's Tale"", ""Ren Violet's Tale"", 'Ren For Joe', 'Ren Reaction Video', 'Ren Makes Music', 'Money Game', 'Ren Money Game', 'Sick Boi', 'hi ren', 'hi ren song', 'hi ren reaction', 'ren reaction', 'ren reactions', 'ren new music', 'ren UK']",PT3M12S,52565,10027,1494
9PgcAIgpwPA,Predator: Badlands | International Trailer,20th Century Studios,2025-10-22T16:00:15Z,1,['Trailer'],PT1M54S,355337,13363,1265
A1pBvgrV7Eg,Silent Hill f - Part 9,Markiplier,2025-10-23T17:19:42Z,20,"['markiplier', 'silent hill f', 'silent hill f part 1', 'markiplier silent hill', 'scary games', 'horror games', 'silent hill playthrough', 'walkthrough', 'lets play', 'part 9']",PT51M5S,105071,13860,910
oi6gGejJaZw,Sin Bandera - Que Lloro (Letra),Unity Vibe ,2025-10-22T14:30:44Z,10,"['sin bandera', 'que lloro', 'sin bandera que lloro', 'que lloro sin bandera', 'sin bandera que lloro letra', 'sin bandera que lloro lyrics', 'quédate un momento así', 'no mires hacia mí', 'que no podré aguantar', 'si clavas tu mirada', 'nunca me sentí tan solo', 'como cuando ayer', 'latin', 'latin music', 'latino', 'mexico', 'colombia', 'regional mexico', 'lyrics', 'letra', 'unity vibe', 'trending song', 'love song', 'musica']",PT4M1S,511605,821,8
43jjsBVarPg,"New Character Reveal Trailer | Warhammer 40,000: Boltgun 2",Warhammer,2025-10-23T20:00:05Z,20,"['Games Workshop', 'Citadel Miniatures', 'Warhammer Age of Sigmar', 'Warhammer 40000', 'Forge World', 'Black Library', '40K', 'AoS', 'GW', 'Astartes', 'Space marine', 'Tow', 'The Old world', 'Middle earth strategy battle game', 'lord of the rings', 'the hobbit', 'warhammer underworlds', 'necromunda', 'the horus heresy', 'legions imperialis', 'age of darkness', 'total war', 'space marine', 'space marine 2', 'Warhammer Fantasy']",PT1M,43292,3848,284
O4RIncLkR-c,I'M IN THIS GAME... My Biggest Acting Role Yet,jacksepticeye,2025-10-22T19:00:30Z,20,['jacksepticeye'],PT1H54M7S,799780,58984,3219
jzwMeKRCCIg,9. Yaelokre - Kamahalan 𓆱 (Lyrics),Yaelokre,2025-10-23T15:00:06Z,22,"['Yaelokre', 'Meadowlark', 'The Lark', 'Hayfields', 'Harpy Hare']",PT2M29S,52163,12209,1378
0GVhecXIhJ8,Wicked: For Good | There's No Going Back,Wicked: For Good,2025-10-23T21:51:26Z,1,[],PT31S,15058,2141,100
PtYCYxXZoFI,DRAW ME IN ROBLOX!,ItsFunneh,2025-10-23T21:00:25Z,20,"['itsfunneh', 'funneh', 'funny moments', 'funny', 'krew', 'krew plays', 'gaming', 'games', 'roblox', 'itsfunneh roblox', 'youtube itsfunneh', 'itsfunneh minecraft', 'itsfunneh krew', 'itsfunneh videos', 'no swearing', 'no cursing', 'roblox funny moments', 'roblox roleplay', 'roblox funny', 'funny roblox', 'funny roblox game', 'roblox game', 'funnehcake', 'funnehcake roblox', 'roblox art', 'roblox drawing', 'roblox drawing contest', 'roblox draw', 'drawing', 'draw', 'drawing in roblox', 'draw roblox', 'draw me', 'draw me roblox']",PT33M2S,67852,5917,1313
0xc9SitYGlc,DDG - break me down (Official Music Video),DDGVEVO,2025-10-23T17:00:04Z,10,"['ddg', 'queen naija', 'pontiacmade', 'sorry the hold up', 'arguments', 'pontiac', 'michigan', 'rap', 'run it up', 'take me serious', 'DDG YouTube', 'Lil Baby', 'Too Much To Lose', 'Young Rich Black', 'VALEDICTORIAN', 'meet me in the lobby', 'toxic', 'exotics', 'she cheated', 'moonwalking in calabasas', 'salim montari', 'salim montari remix', 'carnag', 'rucci', 'Gunna', 'DDG Elon Musk', 'Elon Musk DDG', 'im geekin', 'ddg im geekin', 'im geekin ddg', 'nightcore', 'nightcore version', 'nitecore', 'nightcore remix', 'nitecore remix', 'nle choppa']",PT2M36S,38470,6580,827
hZX4IgShvg0,Pluribus | Official Trailer,Breaking Bad & Better Call Saul,2025-10-22T13:59:51Z,24,"['Breaking Bad', 'Walter White', 'Bryan Cranston', 'Anna Gunn', 'Aaron Paul', 'Dean Norris', 'Betsy Brandt', 'Bob Odenkirk', 'Jonathan Banks', 'Jesse Pinkman', 'Official Trailer', 'Vince Gilligan', 'Breaking Bad full episodes', 'Breaking Bad clips', 'Breaking Bad funny moments', 'Breaking Bad bloopers', 'Better Call Saul', 'Breaking Bad Season', 'Saul Goodman', 'Jimmy McGill', 'Kim Wexler', 'Gus Fring', 'Hector Salamanca', 'Rhea Seehorn', 'pluribus trailer', 'apple tv+', 'vince gilligan apple tv']",PT2M9S,691208,33989,2409
